customer_id,name,age,phone
C0001,Mohammed Al-Saud,53,055440189
C0002,Yara Al-Otaibi,61,057989166
C0003,Lina Al-Saud,43,055859883
C0004,Yara Al-Qahtani,42,055108369
C0005,Yara Al-Harbi,31,058609207
C0006,Mohammed Al-Saud,22,058375356
C0007,Khalid Al-Zahrani,41,054422938
C0008,Hassan Al-Harthy,32,056357240
C0009,Salem Al-Mutairi,37,053193891
C0010,Hassan Al-Farsi,32,055055688
C0011,Noura Al-Farsi,29,058542969
C0012,Sara Al-Harthy,18,051849015
C0013,Ali Al-Harbi,67,058015136
C0014,Sara Al-Harthy,64,056493461
C0015,Lina Al-Mutairi,24,053673322
C0016,Noura Al-Zahrani,43,056176450
C0017,Noura Al-Saud,17,057597509
C0018,Omar Al-Zahrani,27,054609524
C0019,Lina Al-Mutairi,15,051847927
C0020,Ali Al-Zahrani,50,058895137
C0021,Ali Al-Saud,66,052803501
C0022,Khalid Al-Harthy,68,055437118
C0023,Salem Al-Mutairi,60,057765480
C0024,Hassan Al-Saud,37,051858283
C0025,Lina Al-Otaibi,35,055841933
C0026,Mohammed Al-Harbi,44,058555692
C0027,Omar Al-Qahtani,64,052993318
C0028,Fatima Al-Farsi,37,057261229
C0029,Hassan Al-Mutairi,60,053420404
C0030,Sara Al-Harbi,44,051675365
C0031,Ahmed Al-Saud,20,056587495
C0032,Noura Al-Zahrani,21,059648751
C0033,Fatima Al-Mutairi,51,056344047
C0034,Fatima Al-Harbi,51,056020319
C0035,Lina Al-Mutairi,44,059551583
C0036,Omar Al-Zahrani,57,056029651
C0037,Noura Al-Saud,35,056557278
C0038,Yara Al-Farsi,38,056161977
C0039,Salem Al-Saud,50,058962302
C0040,Ali Al-Otaibi,58,051861596
C0041,Lina Al-Zahrani,22,059795159
C0042,Yara Al-Harbi,21,055063384
C0043,Ahmed Al-Farsi,24,051317716
C0044,Noura Al-Mutairi,38,053540594
C0045,Khalid Al-Otaibi,38,059419134
C0046,Lina Al-Zahrani,67,052044906
C0047,Salem Al-Harthy,45,054478616
C0048,Omar Al-Mutairi,54,059025733
C0049,Omar Al-Harbi,32,053905518
C0050,Noura Al-Mutairi,46,056943949
C0051,Yara Al-Qahtani,51,059123194
C0052,Sara Al-Otaibi,29,056007984
C0053,Sara Al-Qahtani,61,055848684
C0054,Salem Al-Otaibi,56,059204110
C0055,Hassan Al-Zahrani,34,055587856
